Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Survey Type
MMR,,States,Louisiana,2011-12,98.1,69013,100,Census
MMR,,States,Maine,2011-12,93,13829,97,Census
MMR,,States,Maryland,2011-12,98.7,72957,67.2,Voluntary Response
MMR,,States,Massachusetts,2011-12,94.2,79551,97.5,Census
MMR,,States,Michigan,2011-12,95,124962,100,Census
MMR,,States,Minnesota,2011-12,95.7,71213,99.2,Census
MMR,,States,Mississippi,2011-12,99.2,44912,100,Census
MMR,,States,Missouri,2011-12,96.8,75240,4.7,2-stage Cluster Sample
MMR,,States,Montana,2011-12,95,12128,100,Census
MMR,,States,Nebraska,2011-12,99,26715,96.6,Census
MMR,,States,Nevada,2011-12,95.3,36557,5.2,2-stage Cluster Sample
MMR,,States,New Hampshire,2011-12,NA,13022,100,Census
MMR,,States,New Jersey,2011-12,NA,118669,96.6,Census
MMR,,States,New Mexico,2011-12,95.7,29159,2,2-stage Cluster Sample
MMR,,States,New York,2011-12,96.9,236016,100,Census
MMR,,States,North Carolina,2011-12,NA,128854,95.4,Census
MMR,,States,North Dakota,2011-12,90.6,8412,5.8,Convenient 
MMR,,States,Ohio,2011-12,96.1,146144,94.5,Convenient 
MMR,,States,Oklahoma,2011-12,95,52987,90.9,Census
MMR,,States,Oregon,2011-12,94,45855,100,Census
MMR,,States,Pennsylvania,2011-12,86.9,148042,99,Census
MMR,,National,United States,2011-12,94.7,,,NaN
MMR,,States,Rhode Island,2011-12,91.7,12552,13.9,2-stage Cluster Sample
MMR,,States,South Carolina,2011-12,94.5,59307,10.7,1-stage Cluster Sample
MMR,,States,South Dakota,2011-12,97.4,12127,100,Census
MMR,,States,Tennessee,2011-12,97.3,83950,99.9,Census
MMR,,States,Texas,2011-12,99.3,388178,100,Census
MMR,,National,U.S. Median,2011-12,94.8,,,NaN
MMR,,States,Utah,2011-12,98,53800,100,Census
MMR,,States,Vermont,2011-12,92.9,6548,100,Census
MMR,,States,Virginia,2011-12,93,101121,4.3,2-stage Cluster Sample
MMR,,States,Washington,2011-12,91.8,85134,89.1,Voluntary Response
MMR,,States,West Virginia,2011-12,92,22449,94.9,Convenient 
MMR,,States,Wisconsin,2011-12,93.1,70672,2.3,2-stage Cluster Sample
MMR,,States,Wyoming,2011-12,NA,,,Not conducted
MMR,,States,Alabama,2012-13,92.8,72929,100,Census
MMR,,States,Alaska,2012-13,NA,10319,97.8,Census
MMR,,States,Arizona,2012-13,94.5,90054,97.6,Census
MMR,,States,Arkansas,2012-13,85.9,43212,96.3,Census
MMR,,States,California,2012-13,92.7,535523,99,Census
MMR,,States,Colorado,2012-13,85.7,70657,0.5,Simple Random Sample
MMR,,States,Connecticut,2012-13,97.1,41604,100,Census
MMR,,States,Delaware,2012-13,95.7,11997,7.8,2-stage Cluster Sample
MMR,,States,District of Columbia,2012-13,NA,7842,100,Census
MMR,,States,Florida,2012-13,92.1,234628,100,Census
MMR,,States,Georgia,2012-13,95.1,142732,2.4,2-stage Cluster Sample
MMR,,States,Hawaii,2012-13,NA,20104,6.7,2-stage Cluster Sample
MMR,,States,Idaho,2012-13,88.4,23888,100,Census
MMR,,States,Illinois,2012-13,95.5,166884,100,Census
MMR,,States,Indiana,2012-13,95.4,86983,83.4,Voluntary Response
MMR,,States,Iowa,2012-13,90.5,41701,99.9,Census
MMR,,States,Kansas,2012-13,90,40738,31.8,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2012-13,92.4,58466,97.2,Census
MMR,,States,Louisiana,2012-13,96.6,68874,100,Census
MMR,,States,Maine,2012-13,91.3,14313,94.6,Census
MMR,,States,Maryland,2012-13,98.2,75007,84.3,Voluntary Response
MMR,,States,Massachusetts,2012-13,94.8,79661,97.6,Census
MMR,,States,Michigan,2012-13,94.4,124662,100,Census
MMR,,States,Minnesota,2012-13,96.3,73310,100,Census
MMR,,States,Mississippi,2012-13,99.9,46595,100,Census
MMR,,States,Missouri,2012-13,96.7,78416,5.9,2-stage Cluster Sample
MMR,,States,Montana,2012-13,94.8,12516,95.8,Census
MMR,,States,Nebraska,2012-13,96,24999,96.6,Census
MMR,,States,Nevada,2012-13,93.6,36070,4.3,2-stage Cluster Sample
MMR,,States,New Hampshire,2012-13,NA,12943,99.2,Census
MMR,,States,New Jersey,2012-13,97,122516,96.7,Census
MMR,,States,New Mexico,2012-13,93.9,29279,3.3,2-stage Cluster Sample
MMR,,States,New York,2012-13,96.6,239484,100,Census
MMR,,States,North Carolina,2012-13,NA,130612,97.3,Census
MMR,,States,North Dakota,2012-13,89.9,9503,4.9,2-stage Cluster Sample
MMR,,States,Ohio,2012-13,96.3,163687,86.9,Census
MMR,,States,Oklahoma,2012-13,90.5,56943,95.5,Census
MMR,,States,Oregon,2012-13,93.5,47102,100,Census
MMR,,States,Pennsylvania,2012-13,87,151364,97.5,Census
MMR,,National,United States,2012-13,94.1,,,NaN
MMR,,States,Rhode Island,2012-13,94.2,12552,75.2,Voluntary Response
MMR,,States,South Carolina,2012-13,90.9,61799,17.9,1-Stage Cluster Sample
MMR,,States,South Dakota,2012-13,97.9,12468,100,Census
MMR,,States,Tennessee,2012-13,94.5,85801,97,Census
MMR,,States,Texas,2012-13,97.5,414688,96.6,Census
MMR,,National,U.S. Median,2012-13,94.5,,,NaN
MMR,,States,Utah,2012-13,96.3,54605,100,Census
MMR,,States,Vermont,2012-13,92.8,6792,100,Census
MMR,,States,Virginia,2012-13,93.1,104826,4.2,2-stage Cluster Sample
MMR,,States,Washington,2012-13,91.7,87773,94.7,Census
MMR,,States,West Virginia,2012-13,96.3,22588,86.5,Voluntary Response
MMR,,States,Wisconsin,2012-13,92.8,72416,1.8,2-stage Cluster Sample
MMR,,States,Wyoming,2012-13,97.5,8133,100,Census
MMR,,States,Alabama,2013-14,92,76927,100,Census
MMR,,States,Alaska,2013-14,94.4,10222,9.3,Stratified  2-stage cluster sample
MMR,,States,Arizona,2013-14,93.9,89606,95.8,Census
MMR,,States,Arkansas,2013-14,86.5,42649,96.3,Census
MMR,,States,California,2013-14,92.3,548606,97.3,Census
MMR,,States,Colorado,2013-14,81.7,69904,0.5,Random Sample
MMR,,States,Connecticut,2013-14,96.9,40978,100,Census
MMR,,States,Delaware,2013-14,96.4,11997,12.2,Stratified  2-stage cluster sample
MMR,,States,District of Columbia,2013-14,NA,7856,100,Census
MMR,,States,Florida,2013-14,93.2,233797,100,Census
MMR,,States,Georgia,2013-14,94,143988,100,Census
MMR,,States,Hawaii,2013-14,NA,20056,5.4,Stratified  2-stage cluster sample
MMR,,States,Idaho,2013-14,88.2,23934,100,Census
MMR,,States,Illinois,2013-14,94.7,163316,100,Census
MMR,,States,Indiana,2013-14,92.9,87193,70.3,Voluntary response
MMR,,States,Iowa,2013-14,91,43728,94.6,Census
MMR,,States,Kansas,2013-14,86.9,41107,29,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2013-14,92.6,57857,100,Census
MMR,,States,Louisiana,2013-14,96.8,63976,100,Census
MMR,,States,Maine,2013-14,89.9,15441,82.4,Voluntary response
MMR,,States,Maryland,2013-14,97.6,75659,96.9,Census
MMR,,States,Massachusetts,2013-14,95.1,79894,97.9,Census
MMR,,States,Michigan,2013-14,97.5,120297,100,Census
MMR,,States,Minnesota,2013-14,93.4,72087,98.5,Census
MMR,,States,Mississippi,2013-14,99.7,45719,100,Census
MMR,,States,Missouri,2013-14,95.5,78140,100,Census
MMR,,States,Montana,2013-14,93.7,12855,95.4,Census
MMR,,States,Nebraska,2013-14,96.6,27000,97.3,Census
MMR,,States,Nevada,2013-14,95.6,35782,3.1,Stratified  2-stage cluster sample
MMR,,States,New Hampshire,2013-14,94.7,13240,100,Census
MMR,,States,New Jersey,2013-14,96.8,123085,95.4,Census
MMR,,States,New Mexico,2013-14,95.9,30725,2.7,Stratified  2-stage cluster sample
MMR,,States,New York,2013-14,96.8,240318,100,Census
MMR,,States,North Carolina,2013-14,NA,126084,97.7,Census
MMR,,States,North Dakota,2013-14,90,9780,96.1,Census (Public); Stratified  2-stage cluster sample(Private)
MMR,,States,Ohio,2013-14,96.2,150000,92.5,Census
MMR,,States,Oklahoma,2013-14,96.4,57377,71.3,Voluntary response
MMR,,States,Oregon,2013-14,93.2,47649,100,Census
MMR,,States,Pennsylvania,2013-14,85.3,151253,100,Census
MMR,,National,United States,2013-14,94,,,NaN
MMR,,States,Rhode Island,2013-14,95.1,11521,99.1,Census
MMR,,States,South Carolina,2013-14,96.8,61661,11,1-stage stratified sample
MMR,,States,South Dakota,2013-14,96.6,12566,100,Census
MMR,,States,Tennessee,2013-14,94.9,80212,99.8,Census
MMR,,States,Texas,2013-14,97.5,409255,97.1,Census
MMR,,National,U.S. Median,2013-14,94.7,,,NaN
MMR,,States,Utah,2013-14,98.5,54779,100,Census
MMR,,States,Vermont,2013-14,91.2,6771,100,Census
MMR,,States,Virginia,2013-14,93.1,105692,4.1,2-stage cluster  sample
MMR,,States,Washington,2013-14,89.7,89165,88.5,Voluntary response
MMR,,States,West Virginia,2013-14,96.1,22814,84.7,Voluntary response
MMR,,States,Wisconsin,2013-14,92.6,71363,2.8,Stratified  2-stage cluster sample
MMR,,States,Wyoming,2013-14,NA,,,Not conducted
MMR,,States,Alabama,2014-15,93.5,59660,100,Census
MMR,,States,Alaska,2014-15,92.7,10129,7.8,Stratified 2-stage cluster sample
MMR,,States,Arizona,2014-15,94.2,86153,98.3,Census
MMR,,States,Arkansas,2014-15,88.4,41252,95.9,Census (public); Voluntary response (private)
MMR,,States,California,2014-15,92.6,552583,96.9,Census
MMR,,States,Colorado,2014-15,86.9,70597,0.5,Simple random sample
MMR,,States,Connecticut,2014-15,97,39948,100,Census
MMR,,States,Delaware,2014-15,97.8,11476,7.9,Stratified 2-stage cluster sample
MMR,,States,District of Columbia,2014-15,89.9,7840,100,Census
MMR,,States,Florida,2014-15,93.3,228982,100,Census
MMR,,States,Georgia,2014-15,94,139471,100,Census
MMR,,States,Hawaii,2014-15,NA,20085,5.6,Stratified 2-stage cluster sample
MMR,,States,Idaho,2014-15,89.5,22968,100,Census
MMR,,States,Illinois,2014-15,94.7,156942,100,Census
MMR,,States,Indiana,2014-15,89.3,85477,70.1,Voluntary response
MMR,,States,Iowa,2014-15,91.9,43239,96.3,Census
MMR,,States,Kansas,2014-15,89.2,39685,24.5,Stratified 2-stage cluster sample
MMR,,States,Kentucky,2014-15,92.7,57884,97.2,Census
MMR,,States,Louisiana,2014-15,96.8,60377,100,Census
MMR,,States,Maine,2014-15,92.1,13704,88.9,Voluntary response (public); Census (private)
MMR,,States,Maryland,2014-15,99.1,75391,90.2,Census (public); Voluntary response (private)
MMR,,States,Massachusetts,2014-15,94.7,74869,100,Census
MMR,,States,Michigan,2014-15,94.3,117963,100,Census
MMR,,States,Minnesota,2014-15,93.5,70896,97.8,Census
MMR,,States,Mississippi,2014-15,99.2,44129,100,Census
MMR,,States,Missouri,2014-15,95.8,75900,100,Census
MMR,,States,Montana,2014-15,94.6,12501,95.7,Census (public); Voluntary response (private)
MMR,,States,Nebraska,2014-15,96,26665,100,Census
MMR,,States,Nevada,2014-15,94,36755,2.8,Stratified 2-stage cluster sample
MMR,,States,New Hampshire,2014-15,91.4,12422,98.9,Census (public); Voluntary response (private)
MMR,,States,New Jersey,2014-15,92.3,120471,93.9,Census (public); Voluntary response (private)
MMR,,States,New Mexico,2014-15,97.7,29918,3.3,Stratified 2-stage cluster sample
MMR,,States,New York,2014-15,98.2,237045,100,Census
MMR,,States,North Carolina,2014-15,96.5,129792,95,Census (public). Voluntary response (private)
MMR,,States,North Dakota,2014-15,89.8,10017,99.9,Census
MMR,,States,Ohio,2014-15,91.9,149080,91,Census (public); Voluntary response (private)
MMR,,States,Oklahoma,2014-15,90.3,56967,95.9,Census
MMR,,States,Oregon,2014-15,94.1,46229,100,Census
MMR,,States,Pennsylvania,2014-15,91.7,146378,98.3,Census
MMR,,National,United States,2014-15,94,,,NaN
MMR,,States,Rhode Island,2014-15,95.7,11163,98.9,Census
MMR,,States,South Carolina,2014-15,96.5,62864,12.2,Stratified 1-stage cluster sample
MMR,,States,South Dakota,2014-15,97.1,12008,100,Census
MMR,,States,Tennessee,2014-15,95.1,78276,100,Census
MMR,,States,Texas,2014-15,97.4,406099,98.3,Census (public); Voluntary response (private)
MMR,,National,U.S. Median,2014-15,94,,,NaN
MMR,,States,Utah,2014-15,94,50916,100,Census
MMR,,States,Vermont,2014-15,92.7,6277,100,Census
MMR,,States,Virginia,2014-15,93.4,103821,4.1,Stratified 2-stage cluster sample
MMR,,States,Washington,2014-15,89.4,88809,96.7,Census (public); Voluntary response (private)
MMR,,States,West Virginia,2014-15,97.6,22016,81.3,Voluntary response
MMR,,States,Wisconsin,2014-15,91.6,69335,2.5,Stratified 2-stage cluster sample
MMR,,States,Wyoming,2014-15,96.8,7983,97.9,Census
MMR,,States,Alabama,2015-16,93.1,60392,100,Census
MMR,,States,Alaska,2015-16,93.5,9937,7.8,Stratified 2-stage cluster sample
MMR,,States,Arizona,2015-16,94.2,83088,100,Census
MMR,,States,Arkansas,2015-16,90.8,40258,95.6,Census (public); Voluntary response (private)
MMR,,States,California,2015-16,94.5,593788,92.8,Census
MMR,,States,Colorado,2015-16,87.1,69137,0.5,Simple random sample
MMR,,States,Connecticut,2015-16,97,39533,100,Census
MMR,,States,Delaware,2015-16,97.6,11589,9.5,Stratified 2-stage cluster sample
MMR,,States,District of Columbia,2015-16,88.5,8080,100,Census
MMR,,States,Florida,2015-16,93.7,224430,100,Census
MMR,,States,Georgia,2015-16,94.6,131403,100,Census
MMR,,States,Hawaii,2015-16,91.6,16325,6.7,Stratified 2-stage cluster sample
MMR,,States,Idaho,2015-16,90.2,22686,100,Census
MMR,,States,Illinois,2015-16,94.9,151309,100,Census
MMR,,States,Indiana,2015-16,89.2,83525,69.5,Voluntary response
MMR,,States,Iowa,2015-16,91.8,41215,100,Census
MMR,,States,Kansas,2015-16,89.4,39555,21,Stratified 2-stage cluster sample
MMR,,States,Kentucky,2015-16,92.2,54353,99.5,Census
MMR,,States,Louisiana,2015-16,96.8,59159,100,Census
MMR,,States,Maine,2015-16,95.1,13526,90.5,Census
MMR,,States,Maryland,2015-16,99.4,72012,94.3,Census (public); Voluntary response (private)
MMR,,States,Massachusetts,2015-16,96.4,72897,100,Census
MMR,,States,Michigan,2015-16,95.7,116299,100,Census
MMR,,States,Minnesota,2015-16,92.8,69710,97.8,Census
MMR,,States,Mississippi,2015-16,99.4,41042,100,Census
MMR,,States,Missouri,2015-16,95.7,74413,100,Census
MMR,,States,Montana,2015-16,94.9,11484,100,Census
MMR,,States,Nebraska,2015-16,95.6,30409,100,Census
MMR,,States,Nevada,2015-16,94.7,37118,3.3,Stratified 2-stage cluster sample
MMR,,States,New Hampshire,2015-16,91.9,11852,99.8,Census
MMR,,States,New Jersey,2015-16,96.3,110116,100,Census
MMR,,States,New Mexico,2015-16,96.2,29049,2.7,Stratified 2-stage cluster sample
MMR,,States,New York,2015-16,95.6,232521,100,Census
MMR,,States,North Carolina,2015-16,97.3,128290,92,Census (public). Voluntary response (private)
MMR,,States,North Dakota,2015-16,90.7,9875,97.1,Census
MMR,,States,Ohio,2015-16,92.1,144604,93.7,Census (public); Voluntary response (private)
MMR,,States,Oklahoma,2015-16,94.4,54335,96.1,Census
MMR,,States,Oregon,2015-16,93.9,45531,100,Census
MMR,,States,Pennsylvania,2015-16,95.5,143298,93.2,Census (public); Voluntary response (private)
MMR,,National,United States,2015-16,94.7,,,NaN
MMR,,States,Rhode Island,2015-16,96.4,11165,100,Census
MMR,,States,South Carolina,2015-16,96.5,59240,8.9,Stratified 1-stage cluster sample
MMR,,States,South Dakota,2015-16,96.5,12181,100,Census
MMR,,States,Tennessee,2015-16,93.5,79233,100,Census
MMR,,States,Texas,2015-16,97.6,394801,98.7,Census (public); Voluntary response (private)
MMR,,National,U.S. Median,2015-16,94.6,,,NaN
MMR,,States,Utah,2015-16,94.2,50114,100,Census
MMR,,States,Vermont,2015-16,93.6,6366,100,Census
MMR,,States,Virginia,2015-16,95.7,100074,4.3,Stratified 2-stage cluster sample
MMR,,States,Washington,2015-16,91,86492,97.3,Census
MMR,,States,West Virginia,2015-16,95.2,21333,87.6,Voluntary response
MMR,,States,Wisconsin,2015-16,93.2,70220,2,Stratified 2-stage cluster sample
MMR,,States,Wyoming,2015-16,96.9,7825,74,Voluntary response
MMR,,States,Alabama,2016-17,93.8,58394,100,Census
MMR,,States,Alaska,2016-17,89,9815,7.6,Stratified 2-stage cluster sample
MMR,,States,Arizona,2016-17,94,83627,100,Census
MMR,,States,Arkansas,2016-17,91.9,39666,75.9,Voluntary response
MMR,,States,California,2016-17,97.3,575305,97.8,Census
MMR,,States,Colorado,2016-17,87.3,64440,100,Census
MMR,,States,Connecticut,2016-17,96.7,39002,100,Census
MMR,,States,Delaware,2016-17,98.5,11490,9.3,Stratified 2-stage cluster sample
MMR,,States,Florida,2016-17,94.1,224463,100,Census
MMR,,States,Georgia,2016-17,93.3,136165,100,Census
MMR,,States,Hawaii,2016-17,93.5,16325,6.7,Stratified 2-stage cluster sample
MMR,,States,Idaho,2016-17,89.9,22589,100,Census
MMR,,States,Illinois,2016-17,94.9,151309,97.7,Census
MMR,,States,Indiana,2016-17,88.9,83263,80.3,Voluntary response
MMR,,States,Iowa,2016-17,92.6,39587,100,Census
MMR,,States,Kansas,2016-17,89.5,38298,22.9,Stratified 2-stage cluster sample
MMR,,States,Kentucky,2016-17,90.8,51487,92.9,Census
MMR,,States,Louisiana,2016-17,97.1,55257,100,Census
MMR,,States,Maine,2016-17,94.9,13834,90.1,Voluntary response (public). census (private)
MMR,,States,Maryland,2016-17,97.9,71467,98.1,Census
MMR,,States,Massachusetts,2016-17,96.1,70109,100,Census
MMR,,States,Michigan,2016-17,95.6,118777,100,Census
MMR,,States,Minnesota,2016-17,92.8,69140,96.7,Census
MMR,,States,Mississippi,2016-17,99.4,40509,100,Census
MMR,,States,Missouri,2016-17,95.4,73355,100,Census
MMR,,States,Montana,2016-17,93.8,11956,100,Census
MMR,,States,Nebraska,2016-17,96.7,27117,100,Census
MMR,,States,Nevada,2016-17,90.9,36885,3.7,Stratified 2-stage cluster sample
MMR,,States,New Hampshire,2016-17,91.5,12145,100,Census
MMR,,States,New Jersey,2016-17,96.5,109577,100,Census
MMR,,States,New Mexico,2016-17,95.5,27119,4.5,Stratified 2-stage cluster sample
MMR,,States,New York,2016-17,97.3,227050,100,Census
MMR,,States,North Carolina,2016-17,96.2,126454,88.2,Voluntary response
MMR,,States,North Dakota,2016-17,93.8,9799,98.7,Census
MMR,,States,Ohio,2016-17,92.6,137542,95.5,Census
MMR,,States,Oklahoma,2016-17,NA,52184,0,Census
MMR,,States,Oregon,2016-17,93.8,45705,100,Census
MMR,,States,Pennsylvania,2016-17,93.6,143888,84.4,Voluntary response
MMR,,National,United States,2016-17,95,,,NaN
MMR,,States,Rhode Island,2016-17,95.1,11100,98.4,Census
MMR,,States,South Carolina,2016-17,96,59177,8.9,Stratified 1-stage cluster sample
MMR,,States,South Dakota,2016-17,96.7,12106,99.8,Census
MMR,,States,Tennessee,2016-17,96.9,78169,100,Census
MMR,,States,Texas,2016-17,97.3,389999,99,Census
MMR,,National,U.S. Median,2016-17,94.1,,,NaN
MMR,,States,Utah,2016-17,93.8,49073,100,Census
MMR,,States,Vermont,2016-17,93.6,6344,100,Census
MMR,,States,Virginia,2016-17,94.1,102357,4,Stratified 2-stage cluster sample
MMR,,States,Washington,2016-17,90.5,87142,98.2,Census
MMR,,States,West Virginia,2016-17,95.9,28666,66.5,Census (public). voluntary response (private)
MMR,,States,Wisconsin,2016-17,94,67607,2.2,Stratified 2-stage cluster sample
MMR,,States,Wyoming,2016-17,NA,,,Not conducted
MMR,,States,Alabama,2017-18,92.7,57245,100,Census
MMR,,States,Alaska,2017-18,91.6,9692,84.4,Stratified 2-stage cluster sample
MMR,,States,Arizona,2017-18,93.4,81710,100,Census
MMR,,States,Arkansas,2017-18,91.9,39630,95.4,Census 
MMR,,States,California,2017-18,96.9,574702,100,Census
MMR,,States,Colorado,2017-18,88.7,65718,100,Census
MMR,,States,Connecticut,2017-18,96.5,39174,100,Census
MMR,,States,Delaware,2017-18,96.7,10988,9.5,Stratified 2-stage cluster sample
MMR,,States,Florida,2017-18,93.7,222397,100,Census
MMR,,States,Georgia,2017-18,93.4,131459,100,Census
