Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),Population Size
Seasonal Influenza,HHS Regions/National,Region 4,2005-06,All Residents,>=18 Years,66.1,445338
Seasonal Influenza,HHS Regions/National,Region 5,2005-06,All Residents,>=18 Years,70.3,516558
Seasonal Influenza,HHS Regions/National,Region 6,2005-06,All Residents,>=18 Years,76.1,242511
Seasonal Influenza,HHS Regions/National,Region 7,2005-06,All Residents,>=18 Years,80.2,149832
Seasonal Influenza,HHS Regions/National,Region 8,2005-06,All Residents,>=18 Years,80.3,73128
Seasonal Influenza,HHS Regions/National,Region 9,2005-06,All Residents,>=18 Years,61.4,251960
Seasonal Influenza,States,Rhode Island,2005-06,All Residents,>=18 Years,76.5,13856
Seasonal Influenza,States,South Carolina,2005-06,All Residents,>=18 Years,76.3,27475
Seasonal Influenza,States,South Dakota,2005-06,All Residents,>=18 Years,86.6,9424
Seasonal Influenza,States,Tennessee,2005-06,All Residents,>=18 Years,73.2,54328
Seasonal Influenza,States,Texas,2005-06,All Residents,>=18 Years,74.5,139176
Seasonal Influenza,HHS Regions/National,Region 10,2005-06,All Residents,>=18 Years,71.1,69127
Seasonal Influenza,States,Utah,2005-06,All Residents,>=18 Years,78.3,12313
Seasonal Influenza,States,Vermont,2005-06,All Residents,>=18 Years,80.6,4988
Seasonal Influenza,States,Virginia,2005-06,All Residents,>=18 Years,70,49986
Seasonal Influenza,States,Washington,2005-06,All Residents,>=18 Years,71.7,39986
Seasonal Influenza,States,West Virginia,2005-06,All Residents,>=18 Years,74.1,16226
Seasonal Influenza,States,Wisconsin,2005-06,All Residents,>=18 Years,81.7,56352
Seasonal Influenza,States,Wyoming,2005-06,All Residents,>=18 Years,82.2,3900
Seasonal Influenza,States,Alabama,2006-07,All Residents,>=18 Years,73.3,37891
Seasonal Influenza,States,Alaska,2006-07,All Residents,>=18 Years,80.8,1073
Seasonal Influenza,States,Arizona,2006-07,All Residents,>=18 Years,65.9,31122
Seasonal Influenza,States,Arkansas,2006-07,All Residents,>=18 Years,85.5,26362
Seasonal Influenza,States,California,2006-07,All Residents,>=18 Years,66.6,199631
Seasonal Influenza,States,Colorado,2006-07,All Residents,>=18 Years,77.7,30093
Seasonal Influenza,States,Connecticut,2006-07,All Residents,>=18 Years,76.3,47121
Seasonal Influenza,States,Delaware,2006-07,All Residents,>=18 Years,79.2,6842
Seasonal Influenza,States,District of Columbia,2006-07,All Residents,>=18 Years,70.9,4413
Seasonal Influenza,States,Florida,2006-07,All Residents,>=18 Years,57,150299
Seasonal Influenza,States,Georgia,2006-07,All Residents,>=18 Years,79.3,52084
Seasonal Influenza,States,Hawaii,2006-07,All Residents,>=18 Years,84.9,6336
Seasonal Influenza,States,Idaho,2006-07,All Residents,>=18 Years,76.1,8990
Seasonal Influenza,States,Illinois,2006-07,All Residents,>=18 Years,66.7,128337
Seasonal Influenza,States,Indiana,2006-07,All Residents,>=18 Years,75.2,65662
Seasonal Influenza,States,Iowa,2006-07,All Residents,>=18 Years,87,39517
Seasonal Influenza,States,Kansas,2006-07,All Residents,>=18 Years,81.8,28982
Seasonal Influenza,States,Kentucky,2006-07,All Residents,>=18 Years,77.3,38514
Seasonal Influenza,States,Louisiana,2006-07,All Residents,>=18 Years,78.3,35587
Seasonal Influenza,States,Maine,2006-07,All Residents,>=18 Years,75.7,12957
Seasonal Influenza,States,Maryland,2006-07,All Residents,>=18 Years,67.7,48299
Seasonal Influenza,States,Massachusetts,2006-07,All Residents,>=18 Years,74.6,80623
Seasonal Influenza,States,Michigan,2006-07,All Residents,>=18 Years,72.3,72762
Seasonal Influenza,States,Minnesota,2006-07,All Residents,>=18 Years,83.1,53898
Seasonal Influenza,States,Mississippi,2006-07,All Residents,>=18 Years,82.1,22414
Seasonal Influenza,States,Missouri,2006-07,All Residents,>=18 Years,76.9,61460
Seasonal Influenza,States,Montana,2006-07,All Residents,>=18 Years,82.6,8949
Seasonal Influenza,States,Nebraska,2006-07,All Residents,>=18 Years,84.6,21000
Seasonal Influenza,States,Nevada,2006-07,All Residents,>=18 Years,45.6,10570
Seasonal Influenza,States,New Hampshire,2006-07,All Residents,>=18 Years,79.7,11737
Seasonal Influenza,States,New Jersey,2006-07,All Residents,>=18 Years,74.4,87577
Seasonal Influenza,States,New Mexico,2006-07,All Residents,>=18 Years,75.1,9716
Seasonal Influenza,States,New York,2006-07,All Residents,>=18 Years,81.6,178346
Seasonal Influenza,States,North Carolina,2006-07,All Residents,>=18 Years,74.7,64915
Seasonal Influenza,States,North Dakota,2006-07,All Residents,>=18 Years,86.1,8613
Seasonal Influenza,States,Ohio,2006-07,All Residents,>=18 Years,70.2,143478
Seasonal Influenza,States,Oklahoma,2006-07,All Residents,>=18 Years,82.4,30021
Seasonal Influenza,States,Oregon,2006-07,All Residents,>=18 Years,71.4,18944
Seasonal Influenza,States,Pennsylvania,2006-07,All Residents,>=18 Years,75.7,139554
Seasonal Influenza,HHS Regions/National,United States,2006-07,All Residents,>=18 Years,74.3,2454611
Seasonal Influenza,HHS Regions/National,Region 1,2006-07,All Residents,>=18 Years,76,171315
Seasonal Influenza,HHS Regions/National,Region 2,2006-07,All Residents,>=18 Years,79.2,265923
Seasonal Influenza,HHS Regions/National,Region 3,2006-07,All Residents,>=18 Years,74,266114
Seasonal Influenza,HHS Regions/National,Region 4,2006-07,All Residents,>=18 Years,70.6,447897
Seasonal Influenza,HHS Regions/National,Region 5,2006-07,All Residents,>=18 Years,72.8,520333
Seasonal Influenza,HHS Regions/National,Region 6,2006-07,All Residents,>=18 Years,80.4,242237
Seasonal Influenza,HHS Regions/National,Region 7,2006-07,All Residents,>=18 Years,81.6,150959
Seasonal Influenza,HHS Regions/National,Region 8,2006-07,All Residents,>=18 Years,80.7,73512
Seasonal Influenza,HHS Regions/National,Region 9,2006-07,All Residents,>=18 Years,66.1,247659
Seasonal Influenza,States,Rhode Island,2006-07,All Residents,>=18 Years,78.6,13798
Seasonal Influenza,States,South Carolina,2006-07,All Residents,>=18 Years,81.4,27821
Seasonal Influenza,States,South Dakota,2006-07,All Residents,>=18 Years,86.3,9482
Seasonal Influenza,States,Tennessee,2006-07,All Residents,>=18 Years,77.7,53959
Seasonal Influenza,States,Texas,2006-07,All Residents,>=18 Years,79.9,140551
Seasonal Influenza,HHS Regions/National,Region 10,2006-07,All Residents,>=18 Years,73.1,68662
Seasonal Influenza,States,Utah,2006-07,All Residents,>=18 Years,78.1,12423
Seasonal Influenza,States,Vermont,2006-07,All Residents,>=18 Years,80.2,5079
Seasonal Influenza,States,Virginia,2006-07,All Residents,>=18 Years,74.2,50689
Seasonal Influenza,States,Washington,2006-07,All Residents,>=18 Years,73,39655
Seasonal Influenza,States,West Virginia,2006-07,All Residents,>=18 Years,76.1,16317
Seasonal Influenza,States,Wisconsin,2006-07,All Residents,>=18 Years,81.6,56196
Seasonal Influenza,States,Wyoming,2006-07,All Residents,>=18 Years,82.7,3952
Seasonal Influenza,States,Alabama,2007-08,All Residents,>=18 Years,76.1,38662
Seasonal Influenza,States,Alaska,2007-08,All Residents,>=18 Years,83.1,994
Seasonal Influenza,States,Arizona,2007-08,All Residents,>=18 Years,71.4,31108
Seasonal Influenza,States,Arkansas,2007-08,All Residents,>=18 Years,88.6,27119
Seasonal Influenza,States,California,2007-08,All Residents,>=18 Years,70.1,201919
Seasonal Influenza,States,Colorado,2007-08,All Residents,>=18 Years,77.3,30383
Seasonal Influenza,States,Connecticut,2007-08,All Residents,>=18 Years,77.8,48147
Seasonal Influenza,States,Delaware,2007-08,All Residents,>=18 Years,80.2,7132
Seasonal Influenza,States,District of Columbia,2007-08,All Residents,>=18 Years,70.9,3926
Seasonal Influenza,States,Florida,2007-08,All Residents,>=18 Years,60.1,151228
Seasonal Influenza,States,Georgia,2007-08,All Residents,>=18 Years,82.1,52326
Seasonal Influenza,States,Hawaii,2007-08,All Residents,>=18 Years,86.8,6367
Seasonal Influenza,States,Idaho,2007-08,All Residents,>=18 Years,77.6,8916
Seasonal Influenza,States,Illinois,2007-08,All Residents,>=18 Years,67.6,130085
Seasonal Influenza,States,Indiana,2007-08,All Residents,>=18 Years,75.5,66679
Seasonal Influenza,States,Iowa,2007-08,All Residents,>=18 Years,87.5,39680
Seasonal Influenza,States,Kansas,2007-08,All Residents,>=18 Years,82.4,29220
Seasonal Influenza,States,Kentucky,2007-08,All Residents,>=18 Years,78.8,39014
Seasonal Influenza,States,Louisiana,2007-08,All Residents,>=18 Years,81.5,35525
Seasonal Influenza,States,Maine,2007-08,All Residents,>=18 Years,80.2,13220
Seasonal Influenza,States,Maryland,2007-08,All Residents,>=18 Years,69.8,48516
Seasonal Influenza,States,Massachusetts,2007-08,All Residents,>=18 Years,77.9,80975
Seasonal Influenza,States,Michigan,2007-08,All Residents,>=18 Years,73.3,75214
Seasonal Influenza,States,Minnesota,2007-08,All Residents,>=18 Years,85.4,54205
Seasonal Influenza,States,Mississippi,2007-08,All Residents,>=18 Years,84.8,22830
Seasonal Influenza,States,Missouri,2007-08,All Residents,>=18 Years,79.7,62190
Seasonal Influenza,States,Montana,2007-08,All Residents,>=18 Years,83.4,8728
Seasonal Influenza,States,Nebraska,2007-08,All Residents,>=18 Years,84.9,21254
Seasonal Influenza,States,Nevada,2007-08,All Residents,>=18 Years,50.3,10493
Seasonal Influenza,States,New Hampshire,2007-08,All Residents,>=18 Years,82.5,11916
Seasonal Influenza,States,New Jersey,2007-08,All Residents,>=18 Years,76.2,89024
Seasonal Influenza,States,New Mexico,2007-08,All Residents,>=18 Years,76.2,9714
Seasonal Influenza,States,New York,2007-08,All Residents,>=18 Years,83.1,179848
Seasonal Influenza,States,North Carolina,2007-08,All Residents,>=18 Years,78.6,66220
Seasonal Influenza,States,North Dakota,2007-08,All Residents,>=18 Years,87.9,8483
Seasonal Influenza,States,Ohio,2007-08,All Residents,>=18 Years,72.7,145945
Seasonal Influenza,States,Oklahoma,2007-08,All Residents,>=18 Years,83.8,31074
Seasonal Influenza,States,Oregon,2007-08,All Residents,>=18 Years,74.7,18962
Seasonal Influenza,States,Pennsylvania,2007-08,All Residents,>=18 Years,78.5,141530
Seasonal Influenza,HHS Regions/National,United States,2007-08,All Residents,>=18 Years,76.5,2485267
Seasonal Influenza,HHS Regions/National,Region 1,2007-08,All Residents,>=18 Years,78.6,173086
Seasonal Influenza,HHS Regions/National,Region 2,2007-08,All Residents,>=18 Years,80.8,268872
Seasonal Influenza,HHS Regions/National,Region 3,2007-08,All Residents,>=18 Years,76.4,270120
Seasonal Influenza,HHS Regions/National,Region 4,2007-08,All Residents,>=18 Years,73.4,452531
Seasonal Influenza,HHS Regions/National,Region 5,2007-08,All Residents,>=18 Years,74.4,528604
Seasonal Influenza,HHS Regions/National,Region 6,2007-08,All Residents,>=18 Years,82.6,248363
Seasonal Influenza,HHS Regions/National,Region 7,2007-08,All Residents,>=18 Years,83,152344
Seasonal Influenza,HHS Regions/National,Region 8,2007-08,All Residents,>=18 Years,80.5,73205
Seasonal Influenza,HHS Regions/National,Region 9,2007-08,All Residents,>=18 Years,69.9,249887
Seasonal Influenza,States,Rhode Island,2007-08,All Residents,>=18 Years,79,13808
Seasonal Influenza,States,South Carolina,2007-08,All Residents,>=18 Years,83.6,28421
Seasonal Influenza,States,South Dakota,2007-08,All Residents,>=18 Years,86.6,9366
Seasonal Influenza,States,Tennessee,2007-08,All Residents,>=18 Years,80.2,53830
Seasonal Influenza,States,Texas,2007-08,All Residents,>=18 Years,81.8,144931
Seasonal Influenza,HHS Regions/National,Region 10,2007-08,All Residents,>=18 Years,75.8,68255
Seasonal Influenza,States,Utah,2007-08,All Residents,>=18 Years,76.1,12414
Seasonal Influenza,States,Vermont,2007-08,All Residents,>=18 Years,82,5020
Seasonal Influenza,States,Virginia,2007-08,All Residents,>=18 Years,76.4,52422
Seasonal Influenza,States,Washington,2007-08,All Residents,>=18 Years,75.8,39383
Seasonal Influenza,States,West Virginia,2007-08,All Residents,>=18 Years,78.2,16594
Seasonal Influenza,States,Wisconsin,2007-08,All Residents,>=18 Years,83.5,56476
Seasonal Influenza,States,Wyoming,2007-08,All Residents,>=18 Years,82.3,3831
Seasonal Influenza,States,Alabama,2008-09,All Residents,>=18 Years,76.3,38532
Seasonal Influenza,States,Alaska,2008-09,All Residents,>=18 Years,84.7,1049
Seasonal Influenza,States,Arizona,2008-09,All Residents,>=18 Years,71.3,30126
Seasonal Influenza,States,Arkansas,2008-09,All Residents,>=18 Years,89.3,26809
Seasonal Influenza,States,California,2008-09,All Residents,>=18 Years,72,200551
Seasonal Influenza,States,Colorado,2008-09,All Residents,>=18 Years,78.3,30514
Seasonal Influenza,States,Connecticut,2008-09,All Residents,>=18 Years,79.1,47166
Seasonal Influenza,States,Delaware,2008-09,All Residents,>=18 Years,80.6,7353
Seasonal Influenza,States,District of Columbia,2008-09,All Residents,>=18 Years,71,4056
Seasonal Influenza,States,Florida,2008-09,All Residents,>=18 Years,62.5,152964
Seasonal Influenza,States,Georgia,2008-09,All Residents,>=18 Years,81.8,53114
Seasonal Influenza,States,Hawaii,2008-09,All Residents,>=18 Years,87.1,6600
Seasonal Influenza,States,Idaho,2008-09,All Residents,>=18 Years,79.3,8779
Seasonal Influenza,States,Illinois,2008-09,All Residents,>=18 Years,69.7,128409
Seasonal Influenza,States,Indiana,2008-09,All Residents,>=18 Years,77.1,65848
Seasonal Influenza,States,Iowa,2008-09,All Residents,>=18 Years,87.6,39043
Seasonal Influenza,States,Kansas,2008-09,All Residents,>=18 Years,82.9,28578
Seasonal Influenza,States,Kentucky,2008-09,All Residents,>=18 Years,79.2,39086
Seasonal Influenza,States,Louisiana,2008-09,All Residents,>=18 Years,82.3,35661
Seasonal Influenza,States,Maine,2008-09,All Residents,>=18 Years,80.8,13148
Seasonal Influenza,States,Maryland,2008-09,All Residents,>=18 Years,70.9,48649
Seasonal Influenza,States,Massachusetts,2008-09,All Residents,>=18 Years,79.8,80600
Seasonal Influenza,States,Michigan,2008-09,All Residents,>=18 Years,74.7,75645
Seasonal Influenza,States,Minnesota,2008-09,All Residents,>=18 Years,85.8,53310
Seasonal Influenza,States,Mississippi,2008-09,All Residents,>=18 Years,84.5,23074
Seasonal Influenza,States,Missouri,2008-09,All Residents,>=18 Years,81.8,61888
Seasonal Influenza,States,Montana,2008-09,All Residents,>=18 Years,83.2,8504
Seasonal Influenza,States,Nebraska,2008-09,All Residents,>=18 Years,85.8,20746
Seasonal Influenza,States,Nevada,2008-09,All Residents,>=18 Years,52.6,10585
Seasonal Influenza,States,New Hampshire,2008-09,All Residents,>=18 Years,81.8,12101
Seasonal Influenza,States,New Jersey,2008-09,All Residents,>=18 Years,76.8,89599
Seasonal Influenza,States,New Mexico,2008-09,All Residents,>=18 Years,78.1,9428
Seasonal Influenza,States,New York,2008-09,All Residents,>=18 Years,83.4,180396
Seasonal Influenza,States,North Carolina,2008-09,All Residents,>=18 Years,78.4,66360
Seasonal Influenza,States,North Dakota,2008-09,All Residents,>=18 Years,87.7,8393
Seasonal Influenza,States,Ohio,2008-09,All Residents,>=18 Years,74.2,145057
Seasonal Influenza,States,Oklahoma,2008-09,All Residents,>=18 Years,85.7,30260
Seasonal Influenza,States,Oregon,2008-09,All Residents,>=18 Years,75.2,18432
Seasonal Influenza,States,Pennsylvania,2008-09,All Residents,>=18 Years,79.4,143414
Seasonal Influenza,HHS Regions/National,United States,2008-09,All Residents,>=18 Years,77.5,2480464
Seasonal Influenza,HHS Regions/National,Region 1,2008-09,All Residents,>=18 Years,79.8,172046
Seasonal Influenza,HHS Regions/National,Region 2,2008-09,All Residents,>=18 Years,81.2,269995
Seasonal Influenza,HHS Regions/National,Region 3,2008-09,All Residents,>=18 Years,77.3,273307
Seasonal Influenza,HHS Regions/National,Region 4,2008-09,All Residents,>=18 Years,74.4,456367
Seasonal Influenza,HHS Regions/National,Region 5,2008-09,All Residents,>=18 Years,75.7,523702
Seasonal Influenza,HHS Regions/National,Region 6,2008-09,All Residents,>=18 Years,83.1,247210
Seasonal Influenza,HHS Regions/National,Region 7,2008-09,All Residents,>=18 Years,84.1,150255
Seasonal Influenza,HHS Regions/National,Region 8,2008-09,All Residents,>=18 Years,81.4,72566
Seasonal Influenza,HHS Regions/National,Region 9,2008-09,All Residents,>=18 Years,71.5,247862
Seasonal Influenza,States,Rhode Island,2008-09,All Residents,>=18 Years,79.1,13770
Seasonal Influenza,States,South Carolina,2008-09,All Residents,>=18 Years,83.8,29107
Seasonal Influenza,States,South Dakota,2008-09,All Residents,>=18 Years,86.9,9233
Seasonal Influenza,States,Tennessee,2008-09,All Residents,>=18 Years,81.6,54130
Seasonal Influenza,States,Texas,2008-09,All Residents,>=18 Years,81.8,145052
Seasonal Influenza,HHS Regions/National,Region 10,2008-09,All Residents,>=18 Years,76.4,67154
Seasonal Influenza,States,Utah,2008-09,All Residents,>=18 Years,78.9,12151
Seasonal Influenza,States,Vermont,2008-09,All Residents,>=18 Years,82.9,5261
Seasonal Influenza,States,Virginia,2008-09,All Residents,>=18 Years,77.2,53167
Seasonal Influenza,States,Washington,2008-09,All Residents,>=18 Years,76,38894
Seasonal Influenza,States,West Virginia,2008-09,All Residents,>=18 Years,78.5,16668
Seasonal Influenza,States,Wisconsin,2008-09,All Residents,>=18 Years,84,55433
Seasonal Influenza,States,Wyoming,2008-09,All Residents,>=18 Years,82.6,3771
Seasonal Influenza,States,Alabama,2009-10,All Residents,>=18 Years,77.4,39198
Seasonal Influenza,States,Alaska,2009-10,All Residents,>=18 Years,84,1078
Seasonal Influenza,States,Arizona,2009-10,All Residents,>=18 Years,71,31157
Seasonal Influenza,States,Arkansas,2009-10,All Residents,>=18 Years,88.2,27142
Seasonal Influenza,States,California,2009-10,All Residents,>=18 Years,72.4,204022
Seasonal Influenza,States,Colorado,2009-10,All Residents,>=18 Years,79,30819
Seasonal Influenza,States,Connecticut,2009-10,All Residents,>=18 Years,79.5,47222
Seasonal Influenza,States,Delaware,2009-10,All Residents,>=18 Years,82.1,7527
Seasonal Influenza,States,District of Columbia,2009-10,All Residents,>=18 Years,70.5,4206
Seasonal Influenza,States,Florida,2009-10,All Residents,>=18 Years,63,154920
Seasonal Influenza,States,Georgia,2009-10,All Residents,>=18 Years,81.1,54110
Seasonal Influenza,States,Hawaii,2009-10,All Residents,>=18 Years,87.3,6624
Seasonal Influenza,States,Idaho,2009-10,All Residents,>=18 Years,78.8,8999
Seasonal Influenza,States,Illinois,2009-10,All Residents,>=18 Years,73,127821
Seasonal Influenza,States,Indiana,2009-10,All Residents,>=18 Years,79.8,65652
Seasonal Influenza,States,Iowa,2009-10,All Residents,>=18 Years,88.5,38499
Seasonal Influenza,States,Kansas,2009-10,All Residents,>=18 Years,84.9,28702
Seasonal Influenza,States,Kentucky,2009-10,All Residents,>=18 Years,81.2,39273
Seasonal Influenza,States,Louisiana,2009-10,All Residents,>=18 Years,84.7,36259
Seasonal Influenza,States,Maine,2009-10,All Residents,>=18 Years,83,13079
Seasonal Influenza,States,Maryland,2009-10,All Residents,>=18 Years,71.9,48308
Seasonal Influenza,States,Massachusetts,2009-10,All Residents,>=18 Years,81.9,80065
Seasonal Influenza,States,Michigan,2009-10,All Residents,>=18 Years,75.3,76807
Seasonal Influenza,States,Minnesota,2009-10,All Residents,>=18 Years,88,52179
Seasonal Influenza,States,Mississippi,2009-10,All Residents,>=18 Years,83.6,23339
Seasonal Influenza,States,Missouri,2009-10,All Residents,>=18 Years,82.3,61652
Seasonal Influenza,States,Montana,2009-10,All Residents,>=18 Years,83.2,8279
Seasonal Influenza,States,Nebraska,2009-10,All Residents,>=18 Years,87.8,20890
Seasonal Influenza,States,Nevada,2009-10,All Residents,>=18 Years,52.5,11341
Seasonal Influenza,States,New Hampshire,2009-10,All Residents,>=18 Years,83.9,11948
Seasonal Influenza,States,New Jersey,2009-10,All Residents,>=18 Years,77.7,89535
Seasonal Influenza,States,New Mexico,2009-10,All Residents,>=18 Years,76.1,9811
Seasonal Influenza,States,New York,2009-10,All Residents,>=18 Years,82.9,181666
Seasonal Influenza,States,North Carolina,2009-10,All Residents,>=18 Years,79.3,66975
Seasonal Influenza,States,North Dakota,2009-10,All Residents,>=18 Years,87.9,8353
Seasonal Influenza,States,Ohio,2009-10,All Residents,>=18 Years,74.8,144194
Seasonal Influenza,States,Oklahoma,2009-10,All Residents,>=18 Years,85.9,30276
Seasonal Influenza,States,Oregon,2009-10,All Residents,>=18 Years,76.1,18545
Seasonal Influenza,States,Pennsylvania,2009-10,All Residents,>=18 Years,80.5,143660
Seasonal Influenza,HHS Regions/National,United States,2009-10,All Residents,>=18 Years,78.4,2496339
Seasonal Influenza,HHS Regions/National,Region 1,2009-10,All Residents,>=18 Years,81.5,171624
Seasonal Influenza,HHS Regions/National,Region 2,2009-10,All Residents,>=18 Years,81.2,271201
Seasonal Influenza,HHS Regions/National,Region 3,2009-10,All Residents,>=18 Years,78.7,274363
Seasonal Influenza,HHS Regions/National,Region 4,2009-10,All Residents,>=18 Years,74.8,462983
Seasonal Influenza,HHS Regions/National,Region 5,2009-10,All Residents,>=18 Years,77.4,521498
Seasonal Influenza,HHS Regions/National,Region 6,2009-10,All Residents,>=18 Years,83.6,250834
Seasonal Influenza,HHS Regions/National,Region 7,2009-10,All Residents,>=18 Years,85.1,149743
Seasonal Influenza,HHS Regions/National,Region 8,2009-10,All Residents,>=18 Years,81.9,73108
Seasonal Influenza,HHS Regions/National,Region 9,2009-10,All Residents,>=18 Years,71.7,253144
Seasonal Influenza,States,Rhode Island,2009-10,All Residents,>=18 Years,81.3,14016
Seasonal Influenza,States,South Carolina,2009-10,All Residents,>=18 Years,85,29898
Seasonal Influenza,States,South Dakota,2009-10,All Residents,>=18 Years,89.1,9208
Seasonal Influenza,States,Tennessee,2009-10,All Residents,>=18 Years,80.8,55270
Seasonal Influenza,States,Texas,2009-10,All Residents,>=18 Years,82.6,147346
Seasonal Influenza,HHS Regions/National,Region 10,2009-10,All Residents,>=18 Years,77.7,67841
Seasonal Influenza,States,Utah,2009-10,All Residents,>=18 Years,79,12693
Seasonal Influenza,States,Vermont,2009-10,All Residents,>=18 Years,85.3,5294
Seasonal Influenza,States,Virginia,2009-10,All Residents,>=18 Years,80.1,54263
Seasonal Influenza,States,Washington,2009-10,All Residents,>=18 Years,78,39219
Seasonal Influenza,States,West Virginia,2009-10,All Residents,>=18 Years,79.9,16399
Seasonal Influenza,States,Wisconsin,2009-10,All Residents,>=18 Years,84.5,54845
Seasonal Influenza,States,Wyoming,2009-10,All Residents,>=18 Years,81.4,3756
Seasonal Influenza,States,Alabama,2010-11,All Residents,>=18 Years,72.9,39387
Seasonal Influenza,States,Alaska,2010-11,All Residents,>=18 Years,83.1,935
Seasonal Influenza,States,Arizona,2010-11,All Residents,>=18 Years,69,32809
Seasonal Influenza,States,Arkansas,2010-11,All Residents,>=18 Years,86,26666
Seasonal Influenza,States,California,2010-11,All Residents,>=18 Years,70.6,207153
Seasonal Influenza,States,Colorado,2010-11,All Residents,>=18 Years,74.8,30898
Seasonal Influenza,States,Connecticut,2010-11,All Residents,>=18 Years,75.9,47753
Seasonal Influenza,States,Delaware,2010-11,All Residents,>=18 Years,80.9,7834
Seasonal Influenza,States,District of Columbia,2010-11,All Residents,>=18 Years,67,4235
Seasonal Influenza,States,Florida,2010-11,All Residents,>=18 Years,58.5,160218
Seasonal Influenza,States,Georgia,2010-11,All Residents,>=18 Years,77.5,54541
Seasonal Influenza,States,Hawaii,2010-11,All Residents,>=18 Years,83.6,6853
Seasonal Influenza,States,Idaho,2010-11,All Residents,>=18 Years,75.6,9066
Seasonal Influenza,States,Illinois,2010-11,All Residents,>=18 Years,70.4,129210
Seasonal Influenza,States,Indiana,2010-11,All Residents,>=18 Years,75.7,66445
Seasonal Influenza,States,Iowa,2010-11,All Residents,>=18 Years,87.1,37566
Seasonal Influenza,States,Kansas,2010-11,All Residents,>=18 Years,82,28574
Seasonal Influenza,States,Kentucky,2010-11,All Residents,>=18 Years,77.8,40234
