Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Vermont,2015-16,All Health Care Personnel,77,,"20,647"
Seasonal Influenza,States,Virginia,2015-16,All Health Care Personnel,86.4,,"165,678"
Seasonal Influenza,States,Washington,2015-16,All Health Care Personnel,88.9,,"174,830"
Seasonal Influenza,States,West Virginia,2015-16,All Health Care Personnel,86.5,,"65,064"
Seasonal Influenza,States,Wisconsin,2015-16,All Health Care Personnel,94.4,,"194,382"
Seasonal Influenza,States,Wyoming,2015-16,All Health Care Personnel,88.5,,"13,983"
Seasonal Influenza,States,Alabama,2016-17,All Health Care Personnel,80.2,,"124,944"
Seasonal Influenza,States,Alaska,2016-17,All Health Care Personnel,75.2,,"19,315"
Seasonal Influenza,States,Arizona,2016-17,All Health Care Personnel,88.9,,"147,947"
Seasonal Influenza,States,Arkansas,2016-17,All Health Care Personnel,84.6,,"85,999"
Seasonal Influenza,States,California,2016-17,All Health Care Personnel,83.9,,"857,286"
Seasonal Influenza,States,Colorado,2016-17,All Health Care Personnel,97.1,,"121,300"
Seasonal Influenza,States,Connecticut,2016-17,All Health Care Personnel,89.7,,"94,093"
Seasonal Influenza,States,Delaware,2016-17,All Health Care Personnel,91.4,,"30,527"
Seasonal Influenza,States,District of Columbia,2016-17,All Health Care Personnel,97.2,,"32,100"
Seasonal Influenza,States,Florida,2016-17,All Health Care Personnel,77.5,,"521,486"
Seasonal Influenza,States,Georgia,2016-17,All Health Care Personnel,89.8,,"223,599"
Seasonal Influenza,States,Hawaii,2016-17,All Health Care Personnel,83,,"24,591"
Seasonal Influenza,States,Idaho,2016-17,All Health Care Personnel,92,,"43,044"
Seasonal Influenza,States,Illinois,2016-17,All Health Care Personnel,87.3,,"370,262"
Seasonal Influenza,States,Indiana,2016-17,All Health Care Personnel,90.1,,"210,981"
Seasonal Influenza,States,Iowa,2016-17,All Health Care Personnel,93.5,,"108,229"
Seasonal Influenza,States,Kansas,2016-17,All Health Care Personnel,93.2,,"88,760"
Seasonal Influenza,States,Kentucky,2016-17,All Health Care Personnel,83.1,,"121,934"
Seasonal Influenza,States,Louisiana,2016-17,All Health Care Personnel,86.3,,"131,026"
Seasonal Influenza,States,Maine,2016-17,All Health Care Personnel,88,,"47,035"
Seasonal Influenza,States,Maryland,2016-17,All Health Care Personnel,96.9,,"106,163"
Seasonal Influenza,States,Massachusetts,2016-17,All Health Care Personnel,92.2,,"261,409"
Seasonal Influenza,States,Michigan,2016-17,All Health Care Personnel,90.5,,"304,991"
Seasonal Influenza,States,Minnesota,2016-17,All Health Care Personnel,81.4,,"165,422"
Seasonal Influenza,States,Mississippi,2016-17,All Health Care Personnel,83,,"83,434"
Seasonal Influenza,States,Missouri,2016-17,All Health Care Personnel,93.3,,"205,772"
Seasonal Influenza,States,Montana,2016-17,All Health Care Personnel,87.1,,"32,147"
Seasonal Influenza,States,Nebraska,2016-17,All Health Care Personnel,91.7,,"66,649"
Seasonal Influenza,States,Nevada,2016-17,All Health Care Personnel,79,,"53,961"
Seasonal Influenza,States,New Hampshire,2016-17,All Health Care Personnel,94.8,,"48,901"
Seasonal Influenza,States,New Jersey,2016-17,All Health Care Personnel,83.5,,"219,623"
Seasonal Influenza,States,New Mexico,2016-17,All Health Care Personnel,86.2,,"45,732"
Seasonal Influenza,States,New York,2016-17,All Health Care Personnel,85.9,,"566,694"
Seasonal Influenza,States,North Carolina,2016-17,All Health Care Personnel,94.8,,"254,347"
Seasonal Influenza,States,North Dakota,2016-17,All Health Care Personnel,90.9,,"33,634"
Seasonal Influenza,States,Ohio,2016-17,All Health Care Personnel,86.9,,"376,959"
Seasonal Influenza,States,Oklahoma,2016-17,All Health Care Personnel,88.7,,"98,345"
Seasonal Influenza,States,Oregon,2016-17,All Health Care Personnel,81.2,,"101,856"
Seasonal Influenza,States,Pennsylvania,2016-17,All Health Care Personnel,90.8,,"400,335"
Seasonal Influenza,National,United States,2016-17,All Health Care Personnel,87.6,,"8,482,719"
Seasonal Influenza,States,Rhode Island,2016-17,All Health Care Personnel,93,,"34,941"
Seasonal Influenza,States,South Carolina,2016-17,All Health Care Personnel,88.1,,"123,565"
Seasonal Influenza,States,South Dakota,2016-17,All Health Care Personnel,96.4,,"31,533"
Seasonal Influenza,States,Tennessee,2016-17,All Health Care Personnel,89.3,,"183,965"
Seasonal Influenza,States,Texas,2016-17,All Health Care Personnel,87.3,,"562,687"
Seasonal Influenza,States,Utah,2016-17,All Health Care Personnel,95.8,,"69,474"
Seasonal Influenza,States,Vermont,2016-17,All Health Care Personnel,78.7,,"20,495"
Seasonal Influenza,States,Virginia,2016-17,All Health Care Personnel,88.5,,"174,267"
Seasonal Influenza,States,Washington,2016-17,All Health Care Personnel,89.8,,"180,453"
Seasonal Influenza,States,West Virginia,2016-17,All Health Care Personnel,90.8,,"61,571"
Seasonal Influenza,States,Wisconsin,2016-17,All Health Care Personnel,93.9,,"194,110"
Seasonal Influenza,States,Wyoming,2016-17,All Health Care Personnel,90.2,,"14,826"
Seasonal Influenza,States,Alabama,2017-18,All Health Care Personnel,86.1,,"127,561"
Seasonal Influenza,States,Alaska,2017-18,All Health Care Personnel,73.8,,"22,283"
Seasonal Influenza,States,Arizona,2017-18,All Health Care Personnel,88.9,,"143,017"
Seasonal Influenza,States,Arkansas,2017-18,All Health Care Personnel,86.6,,"86,869"
Seasonal Influenza,States,California,2017-18,All Health Care Personnel,84.7,,"870,350"
Seasonal Influenza,States,Colorado,2017-18,All Health Care Personnel,97.6,,"123,004"
Seasonal Influenza,States,Connecticut,2017-18,All Health Care Personnel,93.5,,"95,149"
Seasonal Influenza,States,Delaware,2017-18,All Health Care Personnel,91.5,,"35,051"
Seasonal Influenza,States,District of Columbia,2017-18,All Health Care Personnel,96.7,,"25,656"
Seasonal Influenza,States,Florida,2017-18,All Health Care Personnel,79.6,,"532,626"
Seasonal Influenza,States,Georgia,2017-18,All Health Care Personnel,90.6,,"229,155"
Seasonal Influenza,States,Hawaii,2017-18,All Health Care Personnel,83.7,,"28,619"
Seasonal Influenza,States,Idaho,2017-18,All Health Care Personnel,91.8,,"46,153"
Seasonal Influenza,States,Illinois,2017-18,All Health Care Personnel,90.9,,"359,012"
Seasonal Influenza,States,Indiana,2017-18,All Health Care Personnel,89.7,,"219,842"
Seasonal Influenza,States,Iowa,2017-18,All Health Care Personnel,94,,"104,935"
Seasonal Influenza,States,Kansas,2017-18,All Health Care Personnel,93.5,,"90,253"
Seasonal Influenza,States,Kentucky,2017-18,All Health Care Personnel,90.2,,"129,230"
Seasonal Influenza,States,Louisiana,2017-18,All Health Care Personnel,87,,"130,280"
Seasonal Influenza,States,Maine,2017-18,All Health Care Personnel,88.8,,"46,486"
Seasonal Influenza,States,Maryland,2017-18,All Health Care Personnel,96.4,,"130,606"
Seasonal Influenza,States,Massachusetts,2017-18,All Health Care Personnel,92.7,,"263,169"
Seasonal Influenza,States,Michigan,2017-18,All Health Care Personnel,90.6,,"295,495"
Seasonal Influenza,States,Minnesota,2017-18,All Health Care Personnel,84.4,,"167,863"
Seasonal Influenza,States,Mississippi,2017-18,All Health Care Personnel,83.2,,"82,863"
Seasonal Influenza,States,Missouri,2017-18,All Health Care Personnel,92.6,,"209,125"
Seasonal Influenza,States,Montana,2017-18,All Health Care Personnel,89,,"34,817"
Seasonal Influenza,States,Nebraska,2017-18,All Health Care Personnel,88.1,,"63,117"
Seasonal Influenza,States,Nevada,2017-18,All Health Care Personnel,77.5,,"58,378"
Seasonal Influenza,States,New Hampshire,2017-18,All Health Care Personnel,94.3,,"45,727"
Seasonal Influenza,States,New Jersey,2017-18,All Health Care Personnel,86.8,,"225,257"
Seasonal Influenza,States,New Mexico,2017-18,All Health Care Personnel,86.3,,"46,864"
Seasonal Influenza,States,New York,2017-18,All Health Care Personnel,85.8,,"614,569"
Seasonal Influenza,States,North Carolina,2017-18,All Health Care Personnel,94.8,,"265,937"
Seasonal Influenza,States,North Dakota,2017-18,All Health Care Personnel,92.5,,"33,627"
Seasonal Influenza,States,Ohio,2017-18,All Health Care Personnel,85.1,,"375,497"
Seasonal Influenza,States,Oklahoma,2017-18,All Health Care Personnel,92.4,,"100,354"
Seasonal Influenza,States,Oregon,2017-18,All Health Care Personnel,82.9,,"100,827"
Seasonal Influenza,States,Pennsylvania,2017-18,All Health Care Personnel,92.3,,"405,775"
Seasonal Influenza,National,United States,2017-18,All Health Care Personnel,88.7,,"8,659,014"
Seasonal Influenza,States,Rhode Island,2017-18,All Health Care Personnel,92.8,,"35,043"
Seasonal Influenza,States,South Carolina,2017-18,All Health Care Personnel,91,,"123,026"
Seasonal Influenza,States,South Dakota,2017-18,All Health Care Personnel,95.8,,"32,948"
Seasonal Influenza,States,Tennessee,2017-18,All Health Care Personnel,90.4,,"187,909"
Seasonal Influenza,States,Texas,2017-18,All Health Care Personnel,88.9,,"582,818"
Seasonal Influenza,States,Utah,2017-18,All Health Care Personnel,95.8,,"71,607"
Seasonal Influenza,States,Vermont,2017-18,All Health Care Personnel,78.9,,"22,374"
Seasonal Influenza,States,Virginia,2017-18,All Health Care Personnel,89.3,,"175,615"
Seasonal Influenza,States,Washington,2017-18,All Health Care Personnel,90.9,,"182,565"
Seasonal Influenza,States,West Virginia,2017-18,All Health Care Personnel,90.7,,"64,851"
Seasonal Influenza,States,Wisconsin,2017-18,All Health Care Personnel,95.1,,"200,077"
Seasonal Influenza,States,Wyoming,2017-18,All Health Care Personnel,92.1,,"14,783"
Seasonal Influenza,States,Alabama,2018-19,All Health Care Personnel,88.4,,"130,954"
Seasonal Influenza,States,Alaska,2018-19,All Health Care Personnel,82.3,,"24,315"
Seasonal Influenza,States,Arizona,2018-19,All Health Care Personnel,92,,"134,496"
Seasonal Influenza,States,Arkansas,2018-19,All Health Care Personnel,89.9,,"92,013"
Seasonal Influenza,States,California,2018-19,All Health Care Personnel,85.6,,"884,990"
Seasonal Influenza,States,Colorado,2018-19,All Health Care Personnel,96.8,,"135,770"
Seasonal Influenza,States,Connecticut,2018-19,All Health Care Personnel,92.5,,"94,416"
Seasonal Influenza,States,Delaware,2018-19,All Health Care Personnel,94.2,,"36,672"
Seasonal Influenza,States,District of Columbia,2018-19,All Health Care Personnel,97.5,,"23,924"
Seasonal Influenza,States,Florida,2018-19,All Health Care Personnel,81.5,,"538,827"
Seasonal Influenza,States,Georgia,2018-19,All Health Care Personnel,89.8,,"235,680"
Seasonal Influenza,States,Hawaii,2018-19,All Health Care Personnel,83.7,,"25,514"
Seasonal Influenza,States,Idaho,2018-19,All Health Care Personnel,95.1,,"45,371"
Seasonal Influenza,States,Illinois,2018-19,All Health Care Personnel,92.9,,"355,293"
Seasonal Influenza,States,Indiana,2018-19,All Health Care Personnel,91.7,,"227,808"
Seasonal Influenza,States,Iowa,2018-19,All Health Care Personnel,95.3,,"103,054"
Seasonal Influenza,States,Kansas,2018-19,All Health Care Personnel,95.2,,"90,488"
Seasonal Influenza,States,Kentucky,2018-19,All Health Care Personnel,92.2,,"130,945"
Seasonal Influenza,States,Louisiana,2018-19,All Health Care Personnel,88.7,,"132,984"
Seasonal Influenza,States,Maine,2018-19,All Health Care Personnel,90.3,,"46,548"
Seasonal Influenza,States,Maryland,2018-19,All Health Care Personnel,97.2,,"103,565"
Seasonal Influenza,States,Massachusetts,2018-19,All Health Care Personnel,94.9,,"271,247"
Seasonal Influenza,States,Michigan,2018-19,All Health Care Personnel,92.2,,"302,309"
Seasonal Influenza,States,Minnesota,2018-19,All Health Care Personnel,85.1,,"177,490"
Seasonal Influenza,States,Mississippi,2018-19,All Health Care Personnel,88,,"84,592"
Seasonal Influenza,States,Missouri,2018-19,All Health Care Personnel,94,,"210,719"
Seasonal Influenza,States,Montana,2018-19,All Health Care Personnel,90.7,,"35,205"
Seasonal Influenza,States,Nebraska,2018-19,All Health Care Personnel,92.3,,"59,299"
Seasonal Influenza,States,Nevada,2018-19,All Health Care Personnel,82.9,,"55,565"
Seasonal Influenza,States,New Hampshire,2018-19,All Health Care Personnel,94.6,,"46,810"
Seasonal Influenza,States,New Jersey,2018-19,All Health Care Personnel,88.6,,"219,114"
Seasonal Influenza,States,New Mexico,2018-19,All Health Care Personnel,88.2,,"49,493"
Seasonal Influenza,States,New York,2018-19,All Health Care Personnel,87,,"594,292"
Seasonal Influenza,States,North Carolina,2018-19,All Health Care Personnel,94.5,,"270,414"
Seasonal Influenza,States,North Dakota,2018-19,All Health Care Personnel,93.1,,"37,179"
Seasonal Influenza,States,Ohio,2018-19,All Health Care Personnel,87.3,,"377,862"
Seasonal Influenza,States,Oklahoma,2018-19,All Health Care Personnel,94.2,,"105,150"
Seasonal Influenza,States,Oregon,2018-19,All Health Care Personnel,85.8,,"101,103"
Seasonal Influenza,States,Pennsylvania,2018-19,All Health Care Personnel,93.4,,"395,570"
Seasonal Influenza,National,United States,2018-19,All Health Care Personnel,90,,"8,709,964"
Seasonal Influenza,States,Rhode Island,2018-19,All Health Care Personnel,92.9,,"36,451"
Seasonal Influenza,States,South Carolina,2018-19,All Health Care Personnel,90.8,,"121,770"
Seasonal Influenza,States,South Dakota,2018-19,All Health Care Personnel,96.5,,"32,853"
Seasonal Influenza,States,Tennessee,2018-19,All Health Care Personnel,91.6,,"193,828"
Seasonal Influenza,States,Texas,2018-19,All Health Care Personnel,89.3,,"598,426"
Seasonal Influenza,States,Utah,2018-19,All Health Care Personnel,95.1,,"72,680"
Seasonal Influenza,States,Vermont,2018-19,All Health Care Personnel,82.2,,"22,525"
Seasonal Influenza,States,Virginia,2018-19,All Health Care Personnel,90.9,,"176,737"
Seasonal Influenza,States,Washington,2018-19,All Health Care Personnel,91.1,,"176,500"
Seasonal Influenza,States,West Virginia,2018-19,All Health Care Personnel,93.1,,"68,845"
Seasonal Influenza,States,Wisconsin,2018-19,All Health Care Personnel,96.2,,"207,191"
Seasonal Influenza,States,Wyoming,2018-19,All Health Care Personnel,91.5,,"15,118"
Seasonal Influenza,States,Alabama,2020-21,All Health Care Personnel,86.9,,"128,560"
Seasonal Influenza,States,Alaska,2020-21,All Health Care Personnel,79,,"21,923"
Seasonal Influenza,States,Arizona,2020-21,All Health Care Personnel,84.5,,"127,534"
Seasonal Influenza,States,Arkansas,2020-21,All Health Care Personnel,88.7,,"84,684"
Seasonal Influenza,States,California,2020-21,All Health Care Personnel,80.1,,"830,517"
Seasonal Influenza,States,Colorado,2020-21,All Health Care Personnel,95.7,,"147,723"
Seasonal Influenza,States,Connecticut,2020-21,All Health Care Personnel,87.7,,"98,812"
Seasonal Influenza,States,Delaware,2020-21,All Health Care Personnel,90.8,,"30,342"
Seasonal Influenza,States,District of Columbia,2020-21,All Health Care Personnel,93.2,,"22,862"
